                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,0,      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
92,1.6956,2.7736,3.5944,1.6359,0.3714,0.07399,0.04068,0.02732,0.33946,0.07311,0.04001,0.02586,1.8503,2.978,3.6376,1.7593,1.70E-05,1.70E-05,1.70E-05
75,1.7807,2.8828,3.5253,1.6788,0.36822,0.06641,0.04162,0.02705,0.36655,0.06015,0.03871,0.02501,1.8677,3.0195,3.6732,1.8031,4.33E-05,4.33E-05,4.33E-05
73,1.7795,2.9624,3.5616,1.7001,0.36414,0.05816,0.04213,0.0248,0.36418,0.05868,0.04096,0.02476,1.867,3.0469,3.6935,1.8265,4.63E-05,4.63E-05,4.63E-05
74,1.7461,2.8894,3.4906,1.6428,0.34191,0.07659,0.04125,0.02649,0.34084,0.07143,0.03806,0.02463,1.8506,3.0491,3.7003,1.8083,4.48E-05,4.48E-05,4.48E-05
69,1.7697,2.9473,3.5772,1.6699,0.40938,0.06777,0.04157,0.02815,0.40812,0.06261,0.03745,0.02439,1.84,3.0633,3.675,1.8034,5.25E-05,5.25E-05,5.25E-05
68,1.8073,2.9507,3.5922,1.6962,0.37363,0.07052,0.0401,0.02469,0.44804,0.06669,0.03785,0.02377,1.8714,3.1048,3.6758,1.8297,5.41E-05,5.41E-05,5.41E-05
89,1.7456,2.8525,3.5427,1.6514,0.33689,0.07758,0.03794,0.02486,0.33631,0.07526,0.03763,0.02344,1.8041,2.9729,3.6379,1.7696,2.16E-05,2.16E-05,2.16E-05
78,1.765,2.8961,3.5024,1.6615,0.40635,0.07369,0.04066,0.02561,0.40496,0.07474,0.03808,0.02327,1.8372,3.0149,3.6698,1.8056,3.86E-05,3.86E-05,3.86E-05
71,1.7945,2.8725,3.5678,1.6895,0.40192,0.06744,0.03855,0.02426,0.4021,0.06512,0.03675,0.02322,1.8488,3.0561,3.693,1.8024,4.94E-05,4.94E-05,4.94E-05
88,1.7372,2.8563,3.4892,1.6609,0.33663,0.07697,0.03857,0.0256,0.33519,0.07258,0.03576,0.02308,1.8281,3.0018,3.653,1.7847,2.32E-05,2.32E-05,2.32E-05
86,1.7409,2.8165,3.4933,1.648,0.33852,0.07562,0.03954,0.02475,0.33698,0.07189,0.0362,0.02287,1.826,2.9997,3.6823,1.7953,2.63E-05,2.63E-05,2.63E-05
41,1.9746,3.1905,3.8786,1.8874,0.46571,0.05585,0.03626,0.02239,0.46363,0.04989,0.03523,0.0228,1.9941,3.2287,3.8505,1.9877,9.58E-05,9.58E-05,9.58E-05
76,1.7649,2.8619,3.5209,1.6602,0.42697,0.05997,0.03784,0.02449,0.42642,0.05844,0.03496,0.02236,1.8702,3.0344,3.6698,1.809,4.17E-05,4.17E-05,4.17E-05
91,1.7017,2.7955,3.6084,1.6321,0.3968,0.0585,0.03581,0.02355,0.39864,0.06241,0.0358,0.0221,1.8678,2.9838,3.6923,1.7793,1.85E-05,1.85E-05,1.85E-05
61,1.8286,2.9899,3.5923,1.7071,0.4366,0.06126,0.03651,0.02339,0.43629,0.06033,0.03364,0.02179,1.8667,3.1128,3.7106,1.8444,6.49E-05,6.49E-05,6.49E-05
79,1.7193,2.7972,3.4874,1.6235,0.36576,0.06394,0.03818,0.02402,0.36521,0.06238,0.03625,0.02167,1.8558,3.0072,3.702,1.799,3.71E-05,3.71E-05,3.71E-05
40,1.9571,3.1379,3.8559,1.8611,0.47659,0.06194,0.03824,0.02277,0.47319,0.06127,0.03748,0.0216,2.0258,3.2661,3.828,2.0126,9.73E-05,9.73E-05,9.73E-05
80,1.723,2.7434,3.483,1.6315,0.43076,0.05883,0.03841,0.02257,0.39824,0.05874,0.03417,0.02134,1.8462,3.032,3.6893,1.8,3.55E-05,3.55E-05,3.55E-05
70,1.8083,2.9426,3.6001,1.6933,0.37034,0.07067,0.03767,0.02292,0.37108,0.07251,0.03642,0.02132,1.8331,3.0558,3.6715,1.8068,5.10E-05,5.10E-05,5.10E-05
51,1.8685,3.0192,3.728,1.767,0.43487,0.05741,0.03407,0.02082,0.44168,0.05465,0.03332,0.02129,1.9199,3.1778,3.7975,1.9115,8.03E-05,8.03E-05,8.03E-05
48,1.8643,3.0082,3.7487,1.774,0.47045,0.05104,0.03455,0.02224,0.48194,0.047,0.03295,0.02115,1.9691,3.1886,3.8054,1.951,8.50E-05,8.50E-05,8.50E-05
72,1.7768,2.9022,3.5409,1.6763,0.37039,0.0617,0.0353,0.02147,0.36767,0.05663,0.03332,0.02099,1.8364,3.0396,3.6594,1.8082,4.79E-05,4.79E-05,4.79E-05
62,1.7921,2.9595,3.6169,1.693,0.43424,0.06421,0.03646,0.02232,0.43301,0.06066,0.0336,0.02097,1.8628,3.1116,3.6936,1.8352,6.33E-05,6.33E-05,6.33E-05
82,1.737,2.8155,3.4889,1.6511,0.37301,0.07973,0.03538,0.02266,0.37187,0.07457,0.03366,0.02095,1.8415,3.001,3.6665,1.7939,3.24E-05,3.24E-05,3.24E-05
47,1.8954,3.0219,3.7626,1.8013,0.42445,0.03907,0.03446,0.0217,0.45095,0.04045,0.03282,0.02074,1.9577,3.2083,3.7869,1.9398,8.65E-05,8.65E-05,8.65E-05
60,1.8092,2.9618,3.6831,1.7212,0.39432,0.05704,0.03751,0.02312,0.39435,0.05428,0.0342,0.02072,1.8582,3.125,3.7078,1.8415,6.64E-05,6.64E-05,6.64E-05
46,1.935,3.0327,3.7988,1.8377,0.39827,0.0683,0.03261,0.02172,0.37743,0.06723,0.03317,0.02067,1.9863,3.2056,3.9182,1.9548,8.80E-05,8.80E-05,8.80E-05
87,1.7482,2.8239,3.486,1.6451,0.3702,0.06992,0.03692,0.02328,0.3676,0.06476,0.03434,0.02057,1.8228,2.9948,3.6654,1.7797,2.47E-05,2.47E-05,2.47E-05
77,1.7345,2.8342,3.5424,1.6427,0.34185,0.07028,0.03653,0.0225,0.34097,0.06627,0.03446,0.02033,1.8304,2.9983,3.6323,1.7858,4.02E-05,4.02E-05,4.02E-05
90,1.7401,2.7985,3.4621,1.6378,0.36492,0.06783,0.03358,0.02144,0.30217,0.0637,0.03295,0.02008,1.8165,2.9805,3.6469,1.7748,2.01E-05,2.01E-05,2.01E-05
84,1.7373,2.9138,3.4994,1.6532,0.33363,0.06571,0.03583,0.02201,0.33445,0.06558,0.03253,0.01986,1.8239,3.0103,3.658,1.7769,2.94E-05,2.94E-05,2.94E-05
50,1.8944,3.0272,3.7582,1.789,0.27524,0.0934,0.03266,0.02064,0.41535,0.04935,0.03167,0.01985,1.9342,3.1684,3.766,1.9319,8.19E-05,8.19E-05,8.19E-05
32,2.0608,3.2438,4.0254,1.9772,0.44578,0.04521,0.03379,0.01908,0.43888,0.04171,0.03095,0.01976,2.1209,3.3326,3.9297,2.0942,0.00010967,0.00010967,0.00010967
59,1.8455,2.9481,3.6342,1.7293,0.40402,0.06126,0.03435,0.02109,0.40506,0.06058,0.03091,0.01944,1.9056,3.1491,3.7359,1.8781,6.80E-05,6.80E-05,6.80E-05
45,1.9026,3.0894,3.7928,1.7958,0.42881,0.03962,0.03448,0.02143,0.42565,0.03275,0.03285,0.0193,1.9899,3.2326,3.7938,1.9866,8.96E-05,8.96E-05,8.96E-05
65,1.8105,2.9453,3.6397,1.7135,0.33991,0.07816,0.03259,0.02009,0.34041,0.07256,0.03154,0.01925,1.8715,3.1141,3.7253,1.8487,5.87E-05,5.87E-05,5.87E-05
52,1.8576,2.9917,3.7274,1.7574,0.40231,0.06329,0.03213,0.01864,0.41017,0.06108,0.0302,0.01919,1.914,3.1462,3.7782,1.9031,7.88E-05,7.88E-05,7.88E-05
66,1.7893,2.8942,3.568,1.6826,0.43082,0.06007,0.03335,0.02056,0.42704,0.05188,0.03019,0.01919,1.8493,3.0682,3.6834,1.8166,5.72E-05,5.72E-05,5.72E-05
49,1.8838,3.0371,3.7369,1.7867,0.46372,0.04842,0.03068,0.01942,0.4754,0.04566,0.03019,0.01916,1.9622,3.1797,3.7907,1.9587,8.34E-05,8.34E-05,8.34E-05
42,1.9492,3.1321,3.8497,1.8487,0.42606,0.04415,0.03367,0.02055,0.42606,0.04415,0.03472,0.0189,2.0347,3.2347,3.9248,2.0289,9.42E-05,9.42E-05,9.42E-05
26,2.1272,3.2844,4.1988,2.053,0.48765,0.03212,0.0296,0.02054,0.48765,0.03212,0.02901,0.01883,2.1759,3.4302,4.1032,2.2304,0.00011893,0.00011893,0.00011893
81,1.7345,2.8074,3.5358,1.6614,0.36859,0.07181,0.03327,0.02053,0.36678,0.06923,0.03161,0.01882,1.8288,3.0087,3.661,1.7872,3.40E-05,3.40E-05,3.40E-05
85,1.7215,2.8228,3.4306,1.6264,0.30436,0.06797,0.03473,0.02115,0.30336,0.0658,0.03121,0.01877,1.8387,2.9994,3.6847,1.8021,2.78E-05,2.78E-05,2.78E-05
64,1.8029,2.9594,3.5989,1.6967,0.42757,0.05472,0.03433,0.02032,0.42707,0.05481,0.0322,0.01863,1.8914,3.0893,3.6945,1.8635,6.02E-05,6.02E-05,6.02E-05
44,1.9023,3.0429,3.7841,1.8225,0.47306,0.05479,0.03307,0.02054,0.47266,0.05254,0.03293,0.01861,2.0107,3.2559,3.8064,2.0025,9.11E-05,9.11E-05,9.11E-05
53,1.8701,3.0536,3.6925,1.7551,0.40696,0.06902,0.03393,0.02035,0.43932,0.06589,0.03173,0.01861,1.8928,3.1471,3.7189,1.8889,7.72E-05,7.72E-05,7.72E-05
36,2.0244,3.1556,3.9431,1.9221,0.49352,0.0488,0.03331,0.02096,0.49277,0.04863,0.03072,0.01859,2.0372,3.3209,3.9386,2.0507,0.00010349,0.00010349,0.00010349
38,1.9946,3.1189,3.8627,1.88,0.39735,0.03265,0.03208,0.01911,0.39498,0.03199,0.03201,0.01848,2.0124,3.3097,3.9319,2.0318,0.0001004,0.0001004,0.0001004
22,2.2505,3.4326,4.2998,2.1769,0.3905,0.03223,0.03274,0.02009,0.38858,0.0309,0.03046,0.01837,2.2573,3.5033,4.1237,2.3376,0.00012511,0.00012511,0.00012511
83,1.7364,2.8144,3.4792,1.6475,0.3338,0.08118,0.03416,0.02095,0.33284,0.07677,0.03215,0.01834,1.8437,2.9956,3.6869,1.7951,3.09E-05,3.09E-05,3.09E-05
33,2.0287,3.2252,3.9814,1.9272,0.43452,0.05843,0.02976,0.01728,0.43011,0.05519,0.02704,0.01796,2.1076,3.3205,4.0544,2.1144,0.00010812,0.00010812,0.00010812
39,1.9964,3.2454,3.8819,1.8771,0.42874,0.06219,0.02942,0.01734,0.42757,0.06063,0.03038,0.01759,2.0044,3.251,3.9299,1.9962,9.89E-05,9.89E-05,9.89E-05
56,1.8698,2.9944,3.6729,1.7637,0.4353,0.05543,0.0306,0.01836,0.43291,0.052,0.02756,0.01758,1.8623,3.1268,3.7348,1.8623,7.26E-05,7.26E-05,7.26E-05
31,2.0944,3.3085,4.0568,1.9756,0.46901,0.04946,0.02845,0.01799,0.45639,0.04671,0.02617,0.01755,2.0853,3.3821,3.9887,2.1238,0.00011121,0.00011121,0.00011121
57,1.8467,2.956,3.6543,1.7438,0.40176,0.05735,0.03168,0.0181,0.40384,0.05908,0.02921,0.0175,1.8689,3.1213,3.7338,1.8732,7.11E-05,7.11E-05,7.11E-05
67,1.7966,2.9077,3.5962,1.6938,0.4006,0.06633,0.03145,0.01917,0.40127,0.06357,0.02956,0.01744,1.8374,3.0686,3.6947,1.8163,5.56E-05,5.56E-05,5.56E-05
55,1.8651,3.0126,3.6932,1.7518,0.37447,0.08068,0.02948,0.01772,0.37411,0.07349,0.02756,0.01744,1.8708,3.1203,3.7761,1.8699,7.41E-05,7.41E-05,7.41E-05
54,1.8385,2.9935,3.6555,1.7251,0.43267,0.06051,0.02961,0.01779,0.42918,0.0571,0.0266,0.01706,1.8949,3.1425,3.755,1.8839,7.57E-05,7.57E-05,7.57E-05
37,1.9944,3.1572,3.9183,1.8769,0.4683,0.06086,0.03231,0.01981,0.46418,0.05425,0.02897,0.01669,2.0491,3.3112,3.9275,2.0187,0.00010195,0.00010195,0.00010195
